Tanggal,Nama_Barang,Jumlah_Barang,Satuan
11/16/2023,Minyak Sania Pouch 1 Liter,15,Dus
11/16/2023,Gulaku 1 Kg,10,Dus
11/16/2023,Minyak Kita Pouch 2 Liter ,10,Dus
11/16/2023,Minyak Rizki Botol 900 gr,15,Dus
11/17/2023,Minyak Sovia Pouch 2 Liter ,20,Dus
11/17/2023,Minyak Sovia Pouch 1 Liter ,15,Dus
11/17/2023,Minyak Rizki Botol 900 gr,20,Dus
11/17/2023,Minya Sania Pouch 2 Liter,30,Dus
11/17/2023,Gula Gmp 1 Kg ,10,Dus
11/17/2023,Beras Sania 5 Kg,25,Dus
11/17/2023,Beras SIIP 5 Kg ,30,Dus
11/17/2023,Minyak Sania Pouch 1 Liter,30,Dus
11/17/2023,Minyak Sovia Pouch 2 Liter ,25,Dus
11/18/2023,Minyak Tropikal Botol 1 Liter,35,Dus
11/18/2023,Minyak Tropikal Botol 2 Liter ,30,Dus
11/18/2023,Minyak Rizki Botol 900 gr,50,Dus
11/18/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/18/2023,Minyak Kita Botol 2 Liter,1,Dus
11/18/2023,Minyak Kita Pouch 2 Liter ,50,Dus
11/18/2023,Minyak Rizki Botol 900 gr,30,Dus
11/18/2023,Rosebrand 1 Kg,25,Dus
11/18/2023,Gula Psm 1 Kg,10,Dus
11/19/2023,Indomie Soto,30,Dus
11/19/2023,Minyak Tropikal Botol 2 Liter ,25,Dus
11/19/2023,Minyak Rizki Botol 900 gr,50,Dus
11/19/2023,Indomie Kari Ayam ,50,Dus
11/19/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/19/2023,Terigu Segitiga Ekonomis 1 Kg,4,Dus
11/19/2023,Minyak Kita Pouch 2 Liter ,50,Dus
11/20/2023,Minyak Kita Botol 1 Liter ,30,Dus
11/20/2023,Sun Kara ,50,Dus
11/20/2023,Gulaku 1 Kg,35,Dus
11/20/2023,Indomie Kari Ayam ,20,Dus
11/20/2023,Abc Susu,10,Dus
11/20/2023,Minyak Kita Pouch 1 Liter,2,Dus
11/20/2023,Sun Kara ,2,Dus
11/20/2023,Beras Sania 5 Kg,2,Dus
11/20/2023,Minyak Tropikal Botol 1 Liter,3,Dus
